Id,m,temp-3,temp-2,temp-1,tempA,chuva -1,chuvaA,bilro,Producao
1,10,21.5,21.1,22.1,24.95,65.5,172.7,1.15,682.45
2,11,21.1,22.1,24.95,25.22,172.7,77.7,0.29,1720.97
3,12,22.1,24.95,25.22,25.81,77.7,22.4,2.74,16289.83
4,1,24.95,25.22,25.81,25.93,22.4,194.1,3.2,18989.96
5,2,25.22,25.81,25.93,26.07,194.1,159.8,1.21,7180.58
6,3,25.81,25.93,26.07,25.99,159.8,126.2,2.77,16467.86
7,4,25.93,26.07,25.99,25.25,126.2,209.2,3.77,22372.55
8,5,26.07,25.99,25.25,24.24,209.2,63.5,6.57,39018.43
9,6,25.99,25.25,24.24,21.88,63.5,53.7,3.37,19998.8
10,7,25.25,24.24,21.88,21.5,53.7,262.5,1.13,6705.83
11,8,24.24,21.88,21.5,21.08,262.5,113.2,0.17,1008.84
12,9,21.88,21.5,21.08,22.12,113.2,82,0.3,1780.31
13,10,21.5,21.08,22.12,24.01,82,134.1,0.14,1039.28
14,11,21.08,22.12,24.01,24.79,134.1,118.1,0.06,445.4
15,12,22.12,24.01,24.79,25.32,118.1,149.4,1.01,7534.76
16,1,24.01,24.79,25.32,25.07,149.4,147.8,2.04,15143.76
17,2,24.79,25.32,25.07,25.16,147.8,66.6,3.28,24348.8
18,3,25.32,25.07,25.16,25.55,66.6,241.8,2.25,16739.8
19,4,25.07,25.16,25.55,24.76,241.8,265.4,1.5,11135.12
20,5,25.16,25.55,24.76,23.32,265.4,111.6,1.05,7831.7
21,6,25.55,24.76,23.32,22.18,111.6,65.1,1.97,14624.12
22,7,24.76,23.32,22.18,21.17,65.1,188.6,1.89,14030.25
23,8,23.32,22.18,21.17,21.73,188.6,92.6,0.2,1484.68
24,9,22.18,21.17,21.73,21.23,92.6,61.5,0.15,1113.51
25,10,21.17,21.73,21.23,23.56,61.5,255.7,0.3,1201.43
26,11,21.73,21.23,23.56,23.46,255.7,178.9,0.56,2251.82
27,12,21.23,23.56,23.46,24.31,178.9,127.3,2.92,11636.7
28,1,23.56,23.46,24.31,24.56,127.3,154,6.78,26980.66
29,2,23.46,24.31,24.56,24.02,154,154.8,6.19,24632.73
30,3,24.31,24.56,24.02,24.49,154.8,150.2,7.03,27989.86
31,4,24.56,24.02,24.49,24.27,150.2,58.5,5.48,21790.49
32,5,24.02,24.49,24.27,22.45,58.5,117.4,3.46,13758.08
33,6,24.49,24.27,22.45,22.46,117.4,127.1,1.6,6371.01
34,7,24.27,22.45,22.46,21.47,127.1,94.4,5.51,21920.93
35,8,22.45,22.46,21.47,20.95,94.4,230.2,3.61,14348.5
36,9,22.46,21.47,20.95,22.34,230.2,34.4,0.55,2210.63
37,10,21.47,20.95,22.34,23,34.4,134.7,0.41,1834.89
38,11,20.95,22.34,23,24.55,134.7,130.1,0.59,2689.01
39,12,22.34,23,24.55,25.04,130.1,17.2,2.04,9226.42
40,1,23,24.55,25.04,25.56,17.2,199.1,3.17,14328.39
41,2,24.55,25.04,25.56,25.12,199.1,229,1.42,6430.24
42,3,25.04,25.56,25.12,25.62,229,51.1,3.9,17611.71
43,4,25.56,25.12,25.62,24.5,51.1,108.7,3.56,16069.1
44,5,25.12,25.62,24.5,23.57,108.7,72.3,5.47,24691.47
45,6,25.62,24.5,23.57,22.75,72.3,241.9,4.12,18582.74
46,7,24.5,23.57,22.75,21.99,241.9,128.2,1.91,8625.61
47,8,23.57,22.75,21.99,21.62,128.2,125.1,1.62,7307.09
48,9,22.75,21.99,21.62,22.64,125.1,158.5,1.17,5283.85
49,10,21.99,21.62,22.64,23.58,158.5,119.3,0.39,1647.11
50,11,21.62,22.64,23.58,24.38,119.3,377,0.15,647.25
51,12,22.64,23.58,24.38,25.61,377,112.1,1.26,5301.18
52,1,23.58,24.38,25.61,25.23,112.1,193.3,5.11,21436.56
53,2,24.38,25.61,25.23,25.36,193.3,127.3,7.01,29372.63
54,3,25.61,25.23,25.36,25.27,127.3,242,6.77,28375.19
55,4,25.23,25.36,25.27,25.27,242,30.5,4.9,20542.97
56,5,25.36,25.27,25.27,24,30.5,114.2,3.24,13594.68
57,6,25.27,25.27,24,22.62,114.2,185.7,2.26,9457.59
58,7,25.27,24,22.62,22.22,185.7,217.7,2.11,8846.57
59,8,24,22.62,22.22,21.72,217.7,38.3,1.48,6221.34
60,9,22.62,22.22,21.72,22.67,38.3,90.1,1.3,5472.65
61,10,22.22,21.72,22.67,23.68,90.1,112.7,0.77,2883.49
62,11,21.72,22.67,23.68,24.54,112.7,152.8,0.66,2465.47
63,12,22.67,23.68,24.54,24.7,152.8,315.4,3.5,12971.44
64,1,23.68,24.54,24.7,25.16,315.4,99.8,9.64,35715.19
65,2,24.54,24.7,25.16,25.5,99.8,114.8,6.7,24821.05
66,3,24.7,25.16,25.5,25.79,114.8,80.3,4.13,15153.26
67,4,25.16,25.5,25.79,25.36,80.3,42.5,2.72,10083.69
68,5,25.5,25.79,25.36,24.64,42.5,67.4,2.32,8612.08
69,6,25.79,25.36,24.64,22.36,67.4,361.4,2.28,8458.52
70,7,25.36,24.64,22.36,21.57,361.4,179.5,4.03,14910.12
71,8,24.64,22.36,21.57,21.45,179.5,131.4,2.79,10343.88
72,9,22.36,21.57,21.45,23.24,131.4,216.5,1.27,4717.66
73,10,21.57,21.45,23.24,24.44,52.7,168.4,0.12,404.82
74,11,21.45,23.24,24.44,26.07,216.5,61.6,0.43,1427.22
75,12,23.24,24.44,26.07,26.51,168.4,187.1,2.46,8062.49
76,1,24.44,26.07,26.51,26.73,61.6,9.5,1.44,4718.5
77,2,26.07,26.51,26.73,26.7,187.1,70.6,1.5,5008.46
78,3,26.51,26.73,26.7,26.85,9.5,91.1,1.8,5887.77
79,4,26.73,26.7,26.85,25.22,70.6,66,1.08,3524.75
80,5,26.7,26.85,25.22,24.03,91.1,35.8,4.53,14829.56
81,6,26.85,25.22,24.03,23.31,66,180.5,8.29,27102.18
82,7,25.22,24.03,23.31,22.11,35.8,131.2,2.1,6857.45
83,8,24.03,23.31,22.11,22.18,180.5,51.9,3.23,10566.72
84,9,23.31,22.11,22.18,22.5,131.2,216.5,5.03,16430.01
85,10,22.11,22.18,22.5,24.32,51.9,168.4,1.43,5063.04
86,11,22.18,22.5,24.32,24.82,216.5,61.6,1.24,4402.82
87,12,22.5,24.32,24.82,25.81,168.4,67.3,1.02,3630.18
88,1,24.32,24.82,25.81,26.04,61.6,90.1,1.54,5486.15
